Ratio of reagent,Conc. SM,Residence time,Temp,conv
2.95,0.4,2.55,136.8,73.7
0.69,0.3,4.25,105,9
0.69,0.3,4.25,105,8.1
1.44,0.221,5.51,131.1,28.2
2.14,0.207,6,100.4,21
1.49,0.308,5.52,93,24.4
1.04,0.279,5.58,150.5,41.6
1,0.282,5.89,140.7,40.1
1.56,0.254,5.46,151.4,50.7
1.68,0.29,5.45,158.8,67.2
1.2,0.266,5.67,158.8,65.8
2.54,0.315,5.84,158.5,84.8
2.59,0.31,5.73,156.4,90.1
2.69,0.373,5.29,158.7,94.2
2.69,0.375,4.93,159.3,94
2.79,0.396,5.02,160,96.6
2.97,0.396,5.51,159.5,98.2
2.84,0.33,3.72,159.2,92.2
2.75,0.352,4.11,148.7,86.5
2.9,0.366,4.66,159.4,94.8
2.96,0.376,5.25,156.5,96.4
2.96,0.352,5.29,160,97.3
2.78,0.341,4.32,159.5,93.1
2.97,0.4,3.13,157.4,91
2.95,0.397,2.58,159,87.6
2.84,0.387,2.54,158,85.8
2.55,0.4,3.29,159.9,86.8
3,0.393,3.03,158.2,88.8
3,0.383,2.5,159.1,85.7
2.86,0.398,3.88,157.1,92.9
2.86,0.388,2.5,150.8,80.7
2.7,0.4,3.07,160,87.6
2.98,0.4,2.82,153.8,86.8
3,0.3697,4.1975,152.3,93.2
2.96,0.3934,2.8928,145.4,83.2
1.95,0.3,4.25,110,33.1
2.5,0.3,4.25,110,34.3
2.68,0.375,5.43,93.8,50.2
2.15,0.365,4.87,81.1,29.8
2.2,0.398,5.58,98.9,47.4
1.04,0.372,5.53,85.6,17.8
1.34,0.316,5.32,111.8,32.7
1.03,0.35,4.76,92.6,22.2
2.25,0.371,4.42,106.5,47.1
2.69,0.36,4.26,98.3,47.8
2.42,0.39,4.46,94.3,40.6
2.75,0.4,2.95,132.4,72.4
2.93,0.376,2.52,130.3,66.7
2.94,0.399,3.43,118,65
2.69,0.388,3.96,140.1,83.9
3,0.393,4.11,139.2,87.6
2.97,0.4,4.71,132.2,88.4
3,0.398,4.7,158.7,96.8
2.98,0.354,6,151.1,97.4
2.75,0.395,5.17,149.7,94.4
2.9,0.381,5.78,143.9,94.5
2.99,0.388,5.81,155,97.6
2.92,0.39,4.73,147.7,93.6
2.99,0.393,3.25,156.9,90.2
2.97,0.396,3.69,150.3,90.1
2.88,0.398,4.72,154.1,95.2
2.93,0.4,6,146.1,96.4
2.97,0.391,5.22,157.3,98.9
2.89,0.384,4.55,157.1,94.5
2.98,0.397,4.09,155.8,93.8
3,0.398,5.85,150.9,97.6
2.96,0.396,5.41,144.6,94.6
3,0.385,4.37,152.8,93.6
2.99,0.4,3.57,160,93.1
2.78,0.394,5.5,159.8,96.4
2.98,0.397,6,159.9,98.2
2.63,0.4,3.42,151.1,84.5
2.84,0.399,4.5,158.1,95
2.98,0.397,4.22,160,95.4
2.82,0.399,4.28,149.1,91.2
2.99,0.4,4.91,154.9,95.8
2.81,0.4,3.53,159.7,91.3
2.99,0.396,4.37,159,95.2
2.98,0.4,4.75,152.4,95.4
2.91,0.399,5.55,160,97.4
2.83,0.393,4.59,159.5,94.5
2.73,0.395,5.72,158.2,96.5
2.97,0.371,4.3,160,93.5
2.93,0.391,4.49,160,95.1
2.96,0.391,3.6,159,92.1
2.98,0.393,3.48,158.6,91.7
2.93,0.392,6,155.3,97.1
2.99,0.4,5.11,159.7,97.5
3,0.359,4.4,159.7,94.6
2.99,0.398,5.79,149.3,97.2
3,0.392,4.78,157.5,96.6
3,0.399,5.06,160,98.3
3,0.394,5.29,159.3,98
3,0.4,5.83,136.1,95
2.99,0.4,4.37,156.7,95.6
3,0.379,5.95,158,98.9
3,0.393,2.5,160,86.6
2.98,0.4,4.61,157.7,96.3
3,0.364,6,160,98.3
2.95,0.4,4.7,159.9,96.6
2.75,0.389,5.99,159.5,98.4
3,0.4,3.02,160,96.9
3,0.369,4.79,158,95.6
0.5,0.2,2.5,60,0
3,0.4,6,160,99.8
